Record Type Code|Record Category Code|Reinsurance Year|Commodity Year|Commodity Code|Insurance Plan Code|State Code|County Code|Type Code|Practice Code|End Date|Commodity Type Code|Class Code|Sub Class Code|Intended Use Code|Irrigation Practice Code|Cropping Practice Code|Organic Practice Code|Interval Code|Actual Ending Value Amount|Last Released Date|Released Date|Deleted Date|Filing Date
A00620|01|2025|2025|0801|81|01|998|816|208|20241125|812|032|997|997|997|997|997|208|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|304|20241125|812|032|997|997|997|997|997|304|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|306|20241125|812|032|997|997|997|997|997|306|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|201|20241125|820|033|997|997|997|997|997|201|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|205|20241125|820|033|997|997|997|997|997|205|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|212|20241125|820|033|997|997|997|997|997|212|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|304|20241125|820|033|997|997|997|997|997|304|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|305|20241125|820|033|997|997|997|997|997|305|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|202|20241125|811|033|997|997|997|997|997|202|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|204|20241125|811|033|997|997|997|997|997|204|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|303|20241125|811|033|997|997|997|997|997|303|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|306|20241125|811|033|997|997|997|997|997|306|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|309|20241125|811|033|997|997|997|997|997|309|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|208|20241125|812|033|997|997|997|997|997|208|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|304|20241125|812|033|997|997|997|997|997|304|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|202|20241125|809|031|997|997|997|997|997|202|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|207|20241125|809|031|997|997|997|997|997|207|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|304|20241125|809|031|997|997|997|997|997|304|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|203|20241125|809|032|997|997|997|997|997|203|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|208|20241125|809|032|997|997|997|997|997|208|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|209|20241125|809|032|997|997|997|997|997|209|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|304|20241125|809|032|997|997|997|997|997|304|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|305|20241125|809|032|997|997|997|997|997|305|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|811|204|20241125|810|031|997|997|997|997|997|204|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|811|206|20241125|810|031|997|997|997|997|997|206|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|811|209|20241125|810|031|997|997|997|997|997|209|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|202|20241125|809|031|997|997|997|997|997|202|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|212|20241125|809|031|997|997|997|997|997|212|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|310|20241125|809|031|997|997|997|997|997|310|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|203|20241125|809|032|997|997|997|997|997|203|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|207|20241125|809|032|997|997|997|997|997|207|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|208|20241125|809|032|997|997|997|997|997|208|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|209|20241125|809|032|997|997|997|997|997|209|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|212|20241125|809|032|997|997|997|997|997|212|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|302|20241125|809|032|997|997|997|997|997|302|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|309|20241125|809|032|997|997|997|997|997|309|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|201|20241125|810|031|997|997|997|997|997|201|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|209|20241125|810|031|997|997|997|997|997|209|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|301|20241125|810|031|997|997|997|997|997|301|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|304|20241125|810|031|997|997|997|997|997|304|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|305|20241125|810|031|997|997|997|997|997|305|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|306|20241125|810|031|997|997|997|997|997|306|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|312|20241125|810|031|997|997|997|997|997|312|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|210|20241125|810|032|997|997|997|997|997|210|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|304|20241125|810|032|997|997|997|997|997|304|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|202|20241125|811|031|997|997|997|997|997|202|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|302|20241125|811|031|997|997|997|997|997|302|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|304|20241125|811|031|997|997|997|997|997|304|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|202|20241125|811|032|997|997|997|997|997|202|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|205|20241125|811|032|997|997|997|997|997|205|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|207|20241125|811|032|997|997|997|997|997|207|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|211|20241125|811|032|997|997|997|997|997|211|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|301|20241125|811|032|997|997|997|997|997|301|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|305|20241125|811|032|997|997|997|997|997|305|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|204|20241125|812|031|997|997|997|997|997|204|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|212|20241125|812|031|997|997|997|997|997|212|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|302|20241125|812|031|997|997|997|997|997|302|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|202|20241125|812|032|997|997|997|997|997|202|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|210|20241125|812|032|997|997|997|997|997|210|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|212|20241125|812|032|997|997|997|997|997|212|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|301|20241125|812|032|997|997|997|997|997|301|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|302|20241125|812|032|997|997|997|997|997|302|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|305|20241125|812|032|997|997|997|997|997|305|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|312|20241125|812|032|997|997|997|997|997|312|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|206|20241125|820|033|997|997|997|997|997|206|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|208|20241125|820|033|997|997|997|997|997|208|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|209|20241125|820|033|997|997|997|997|997|209|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|210|20241125|820|033|997|997|997|997|997|210|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|211|20241125|820|033|997|997|997|997|997|211|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|817|306|20241125|820|033|997|997|997|997|997|306|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|203|20241125|811|033|997|997|997|997|997|203|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|210|20241125|811|033|997|997|997|997|997|210|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|301|20241125|811|033|997|997|997|997|997|301|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|302|20241125|811|033|997|997|997|997|997|302|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|818|312|20241125|811|033|997|997|997|997|997|312|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|210|20241125|812|033|997|997|997|997|997|210|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|211|20241125|812|033|997|997|997|997|997|211|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|301|20241125|812|033|997|997|997|997|997|301|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|305|20241125|812|033|997|997|997|997|997|305|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|309|20241125|812|033|997|997|997|997|997|309|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|311|20241125|812|033|997|997|997|997|997|311|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|819|312|20241125|812|033|997|997|997|997|997|312|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|203|20241125|809|031|997|997|997|997|997|203|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|204|20241125|809|031|997|997|997|997|997|204|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|208|20241125|809|031|997|997|997|997|997|208|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|301|20241125|809|031|997|997|997|997|997|301|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|303|20241125|809|031|997|997|997|997|997|303|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|306|20241125|809|031|997|997|997|997|997|306|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|311|20241125|809|031|997|997|997|997|997|311|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|809|312|20241125|809|031|997|997|997|997|997|312|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|205|20241125|809|032|997|997|997|997|997|205|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|206|20241125|809|032|997|997|997|997|997|206|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|301|20241125|809|032|997|997|997|997|997|301|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|810|310|20241125|809|032|997|997|997|997|997|310|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|811|207|20241125|810|031|997|997|997|997|997|207|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|811|210|20241125|810|031|997|997|997|997|997|210|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|811|305|20241125|810|031|997|997|997|997|997|305|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|811|309|20241125|810|031|997|997|997|997|997|309|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|812|204|20241125|810|032|997|997|997|997|997|204|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|812|205|20241125|810|032|997|997|997|997|997|205|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|812|209|20241125|810|032|997|997|997|997|997|209|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|812|210|20241125|810|032|997|997|997|997|997|210|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|813|205|20241125|811|031|997|997|997|997|997|205|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|813|209|20241125|811|031|997|997|997|997|997|209|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|813|212|20241125|811|031|997|997|997|997|997|212|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|813|301|20241125|811|031|997|997|997|997|997|301|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|814|205|20241125|811|032|997|997|997|997|997|205|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|814|206|20241125|811|032|997|997|997|997|997|206|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|814|304|20241125|811|032|997|997|997|997|997|304|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|201|20241125|812|031|997|997|997|997|997|201|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|207|20241125|812|031|997|997|997|997|997|207|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|209|20241125|812|031|997|997|997|997|997|209|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|212|20241125|812|031|997|997|997|997|997|212|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|302|20241125|812|031|997|997|997|997|997|302|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|303|20241125|812|031|997|997|997|997|997|303|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|304|20241125|812|031|997|997|997|997|997|304|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|306|20241125|812|031|997|997|997|997|997|306|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|310|20241125|812|031|997|997|997|997|997|310|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|815|312|20241125|812|031|997|997|997|997|997|312|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|816|202|20241125|812|032|997|997|997|997|997|202|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|816|207|20241125|812|032|997|997|997|997|997|207|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|817|204|20241125|820|033|997|997|997|997|997|204|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|817|206|20241125|820|033|997|997|997|997|997|206|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|817|207|20241125|820|033|997|997|997|997|997|207|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|817|208|20241125|820|033|997|997|997|997|997|208|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|817|211|20241125|820|033|997|997|997|997|997|211|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|817|310|20241125|820|033|997|997|997|997|997|310|268.500||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|818|209|20241125|811|033|997|997|997|997|997|209|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|818|210|20241125|811|033|997|997|997|997|997|210|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|818|212|20241125|811|033|997|997|997|997|997|212|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|818|303|20241125|811|033|997|997|997|997|997|303|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|818|309|20241125|811|033|997|997|997|997|997|309|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|819|203|20241125|812|033|997|997|997|997|997|203|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|819|205|20241125|812|033|997|997|997|997|997|205|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|819|209|20241125|812|033|997|997|997|997|997|209|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|819|211|20241125|812|033|997|997|997|997|997|211|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|02|998|819|312|20241125|812|033|997|997|997|997|997|312|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|809|202|20241125|809|031|997|997|997|997|997|202|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|809|212|20241125|809|031|997|997|997|997|997|212|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|809|309|20241125|809|031|997|997|997|997|997|309|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|810|205|20241125|809|032|997|997|997|997|997|205|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|810|207|20241125|809|032|997|997|997|997|997|207|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|810|210|20241125|809|032|997|997|997|997|997|210|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|810|211|20241125|809|032|997|997|997|997|997|211|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|810|306|20241125|809|032|997|997|997|997|997|306|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|810|310|20241125|809|032|997|997|997|997|997|310|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|810|311|20241125|809|032|997|997|997|997|997|311|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|811|201|20241125|810|031|997|997|997|997|997|201|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|811|203|20241125|810|031|997|997|997|997|997|203|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|811|204|20241125|810|031|997|997|997|997|997|204|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|811|209|20241125|810|031|997|997|997|997|997|209|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|04|998|811|212|20241125|810|031|997|997|997|997|997|212|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|203|20241125|809|031|997|997|997|997|997|203|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|205|20241125|809|031|997|997|997|997|997|205|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|207|20241125|809|031|997|997|997|997|997|207|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|209|20241125|809|031|997|997|997|997|997|209|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|302|20241125|809|031|997|997|997|997|997|302|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|304|20241125|809|031|997|997|997|997|997|304|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|306|20241125|809|031|997|997|997|997|997|306|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|309|20241125|809|031|997|997|997|997|997|309|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|311|20241125|809|031|997|997|997|997|997|311|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|312|20241125|809|031|997|997|997|997|997|312|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|204|20241125|809|032|997|997|997|997|997|204|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|211|20241125|809|032|997|997|997|997|997|211|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|303|20241125|809|032|997|997|997|997|997|303|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|306|20241125|809|032|997|997|997|997|997|306|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|310|20241125|809|032|997|997|997|997|997|310|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|312|20241125|809|032|997|997|997|997|997|312|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|203|20241125|810|031|997|997|997|997|997|203|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|211|20241125|810|031|997|997|997|997|997|211|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|302|20241125|810|031|997|997|997|997|997|302|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|303|20241125|810|031|997|997|997|997|997|303|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|309|20241125|810|031|997|997|997|997|997|309|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|207|20241125|810|032|997|997|997|997|997|207|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|301|20241125|810|032|997|997|997|997|997|301|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|309|20241125|810|032|997|997|997|997|997|309|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|310|20241125|810|032|997|997|997|997|997|310|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|204|20241125|811|031|997|997|997|997|997|204|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|206|20241125|811|031|997|997|997|997|997|206|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|207|20241125|811|031|997|997|997|997|997|207|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|210|20241125|811|031|997|997|997|997|997|210|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|306|20241125|811|031|997|997|997|997|997|306|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|310|20241125|811|031|997|997|997|997|997|310|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|201|20241125|811|032|997|997|997|997|997|201|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|203|20241125|811|032|997|997|997|997|997|203|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|204|20241125|811|032|997|997|997|997|997|204|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|212|20241125|811|032|997|997|997|997|997|212|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|303|20241125|811|032|997|997|997|997|997|303|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|304|20241125|811|032|997|997|997|997|997|304|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|203|20241125|812|031|997|997|997|997|997|203|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|205|20241125|812|031|997|997|997|997|997|205|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|208|20241125|812|031|997|997|997|997|997|208|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|209|20241125|812|031|997|997|997|997|997|209|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|301|20241125|812|031|997|997|997|997|997|301|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|304|20241125|812|031|997|997|997|997|997|304|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|305|20241125|812|031|997|997|997|997|997|305|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|309|20241125|812|031|997|997|997|997|997|309|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|205|20241125|812|032|997|997|997|997|997|205|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|206|20241125|812|032|997|997|997|997|997|206|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|207|20241125|812|032|997|997|997|997|997|207|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|211|20241125|812|032|997|997|997|997|997|211|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|816|309|20241125|812|032|997|997|997|997|997|309|127.860||20241203||20240430
